pkey,profile,genome_id,name,product,start,stop,strand,scaffold,sequence_id,type,transl_table,core_table_fkey,Dup,HGT,Res,bgc_id,gene,description,function,bgctable_fkey,BGC,duptable_fkey,evalue,bitscore,gid,seqtitle,hits
GCF_003635025.1__TIGR00674__2__2093,TIGR00674,GCF_003635025.1,dapA_3,4-hydroxy-tetrahydrodipicolinate synthase,2112485,2113331,-1.0,scaffold_2,2093,CDS,11.0,GCF_003635025.1__arts_core__TIGR00674,✔,✔,✖,,,,Amino acid biosynthesis,,✖,GCF_003635025.1__arts_dup__TIGR00674,,,,,2
GCF_003635025.1__TIGR00674__2__3061,TIGR00674,45119,dapA_4,4-hydroxy-tetrahydrodipicolinate synthase,3135620,3136517,1.0,scaffold_2,3061,CDS,11.0,GCF_003635025.1__arts_core__TIGR00674,✔,✔,✖,,,,Amino acid biosynthesis,,✖,GCF_003635025.1__arts_dup__TIGR00674,,,,,2
GCF_003635025.1__TIGR00674__2__4332,TIGR00674,GCF_003635025.1,dapA_6,4-hydroxy-tetrahydrodipicolinate synthase,4438151,4439084,1.0,scaffold_2,4332,CDS,11.0,GCF_003635025.1__arts_core__TIGR00674,✔,✔,✖,,,,Amino acid biosynthesis,,✖,GCF_003635025.1__arts_dup__TIGR00674,,,,,2
GCF_003635025.1__TIGR00685__2__2112,TIGR00685,GCF_003635025.1,-,hypothetical protein,2134738,2137282,-1.0,scaffold_2,2112,CDS,11.0,GCF_003635025.1__arts_core__TIGR00685,✖,✖,✖,,,,Cellular processes,,✖,,,,,,0
GCF_003635025.1__TIGR00690__2__4945,TIGR00690,GCF_003635025.1,rpoZ,DNA-directed RNA polymerase subunit omega,5120762,5121056,1.0,scaffold_2,4945,CDS,11.0,GCF_003635025.1__arts_core__TIGR00690,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00692__2__3816,TIGR00692,GCF_003635025.1,tdh_2,L-threonine 3-dehydrogenase,3909338,3910379,-1.0,scaffold_2,3816,CDS,11.0,GCF_003635025.1__arts_core__TIGR00692,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00708__2__4259,TIGR00708,GCF_003635025.1,btuR,Corrinoid adenosyltransferase,4356937,4357552,1.0,scaffold_2,4259,CDS,11.0,GCF_003635025.1__arts_core__TIGR00708,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00715__2__4276,TIGR00715,GCF_003635025.1,cobK,Precorrin-6A reductase,4382403,4383150,-1.0,scaffold_2,4276,CDS,11.0,GCF_003635025.1__arts_core__TIGR00715,✖,✖,✖,,,,"Biosynthesis of cofactors, prosthetic groups, and carriers",,✖,,,,,,0
GCF_003635025.1__TIGR00720__2__3828,TIGR00720,45119,sdaB,L-serine dehydratase 2,3927811,3929164,1.0,scaffold_2,3828,CDS,11.0,GCF_003635025.1__arts_core__TIGR00720,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR00720,,,,,2
GCF_003635025.1__TIGR00720__2__7247,TIGR00720,GCF_003635025.1,sdaA,L-serine dehydratase 1,7653623,7654997,-1.0,scaffold_2,7247,CDS,11.0,GCF_003635025.1__arts_core__TIGR00720,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR00720,,,,,2
GCF_003635025.1__TIGR00724__2__7505,TIGR00724,45119,pxpC_2,5-oxoprolinase subunit C,7937433,7938423,-1.0,scaffold_2,7505,CDS,11.0,GCF_003635025.1__arts_core__TIGR00724,✔,✖,✖,,,,Unknown function,,✖,GCF_003635025.1__arts_dup__TIGR00724,,,,,1
GCF_003635025.1__TIGR00724__2__862,TIGR00724,GCF_003635025.1,pxpC_1,5-oxoprolinase subunit C,794296,795151,-1.0,scaffold_2,862,CDS,11.0,GCF_003635025.1__arts_core__TIGR00724,✔,✖,✖,,,,Unknown function,,✖,GCF_003635025.1__arts_dup__TIGR00724,,,,,1
GCF_003635025.1__TIGR00726__2__4403,TIGR00726,GCF_003635025.1,-,Polyphenol oxidase,4514110,4514830,1.0,scaffold_2,4403,CDS,11.0,GCF_003635025.1__arts_core__TIGR00726,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00730__2__1590,TIGR00730,GCF_003635025.1,log,Cytokinin riboside 5-monophosphate phosphoribohydrolase,1571160,1571730,-1.0,scaffold_2,1590,CDS,11.0,GCF_003635025.1__arts_core__TIGR00730,✖,✖,✖,,,,Hypothetical proteins,,✖,,,,,,0
GCF_003635025.1__TIGR00730__2__1591,TIGR00730,GCF_003635025.1,-,hypothetical protein,1571711,1572488,-1.0,scaffold_2,1591,CDS,11.0,GCF_003635025.1__arts_core__TIGR00730,✖,✖,✖,,,,Hypothetical proteins,,✖,,,,,,0
GCF_003635025.1__TIGR00731__2__1802,TIGR00731,GCF_003635025.1,rplY,50S ribosomal protein L25,1805151,1805754,1.0,scaffold_2,1802,CDS,11.0,GCF_003635025.1__arts_core__TIGR00731,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00732__2__4198,TIGR00732,GCF_003635025.1,dprA_1,Putative DNA processing protein DprA,4293191,4294349,1.0,scaffold_2,4198,CDS,11.0,GCF_003635025.1__arts_core__TIGR00732,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00753__2__6493,TIGR00753,GCF_003635025.1,uppP,Undecaprenyl-diphosphatase,6827718,6828549,-1.0,scaffold_2,6493,CDS,11.0,GCF_003635025.1__arts_core__TIGR00753,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00755__2__1811,TIGR00755,GCF_003635025.1,ksgA,Ribosomal RNA small subunit methyltransferase A,1815914,1816778,-1.0,scaffold_2,1811,CDS,11.0,GCF_003635025.1__arts_core__TIGR00755,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00759__2__891,TIGR00759,GCF_003635025.1,aceE_1,Pyruvate dehydrogenase E1 component,824992,827761,1.0,scaffold_2,891,CDS,11.0,GCF_003635025.1__arts_core__TIGR00759,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00762__2__1082,TIGR00762,45119,-,DegV domain-containing protein,993725,994586,-1.0,scaffold_2,1082,CDS,11.0,GCF_003635025.1__arts_core__TIGR00762,✔,✖,✖,,,,Unknown function,,✖,GCF_003635025.1__arts_dup__TIGR00762,,,,,1
GCF_003635025.1__TIGR00762__2__4058,TIGR00762,45119,degV,Protein DegV,4141026,4141869,-1.0,scaffold_2,4058,CDS,11.0,GCF_003635025.1__arts_core__TIGR00762,✔,✖,✖,,,,Unknown function,,✖,GCF_003635025.1__arts_dup__TIGR00762,,,,,1
GCF_003635025.1__TIGR00766__2__3588,TIGR00766,GCF_003635025.1,yhjD,Inner membrane protein YhjD,3663802,3664819,1.0,scaffold_2,3588,CDS,11.0,GCF_003635025.1__arts_core__TIGR00766,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00767__2__3957,TIGR00767,GCF_003635025.1,rho_1,Transcription termination factor Rho,4042356,4044228,1.0,scaffold_2,3957,CDS,11.0,GCF_003635025.1__arts_core__TIGR00767,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00810__2__4993,TIGR00810,GCF_003635025.1,secG,putative protein-export membrane protein SecG,5173682,5173916,1.0,scaffold_2,4993,CDS,11.0,GCF_003635025.1__arts_core__TIGR00810,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00855__2__3302,TIGR00855,GCF_003635025.1,rplL,50S ribosomal protein L7/L12,3367589,3367976,1.0,scaffold_2,3302,CDS,11.0,GCF_003635025.1__arts_core__TIGR00855,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00871__2__5020,TIGR00871,GCF_003635025.1,zwf2,Glucose-6-phosphate 1-dehydrogenase 2,5201288,5202827,-1.0,scaffold_2,5020,CDS,11.0,GCF_003635025.1__arts_core__TIGR00871,✖,✔,✖,,,,Energy metabolism,,✖,,,,,,1
GCF_003635025.1__TIGR00876__2__5022,TIGR00876,GCF_003635025.1,tal_1,Transaldolase,5204627,5205734,-1.0,scaffold_2,5022,CDS,11.0,GCF_003635025.1__arts_core__TIGR00876,✔,✖,✖,,,,Energy metabolism,,✖,GCF_003635025.1__arts_dup__TIGR00876,,,,,1
GCF_003635025.1__TIGR00876__2__7517,TIGR00876,GCF_003635025.1,tal_2,Transaldolase,7948160,7949264,1.0,scaffold_2,7517,CDS,11.0,GCF_003635025.1__arts_core__TIGR00876,✔,✖,✖,,,,Energy metabolism,,✖,GCF_003635025.1__arts_dup__TIGR00876,,,,,1
GCF_003635025.1__TIGR00877__2__2959,TIGR00877,GCF_003635025.1,purD_2,Phosphoribosylamine--glycine ligase,3012788,3014051,1.0,scaffold_2,2959,CDS,11.0,GCF_003635025.1__arts_core__TIGR00877,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00878__2__3001,TIGR00878,GCF_003635025.1,purM,Phosphoribosylformylglycinamidine cyclo-ligase,3056606,3057719,1.0,scaffold_2,3001,CDS,11.0,GCF_003635025.1__arts_core__TIGR00878,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00922__2__3296,TIGR00922,GCF_003635025.1,nusG,Transcription termination/antitermination protein NusG,3363390,3364266,1.0,scaffold_2,3296,CDS,11.0,GCF_003635025.1__arts_core__TIGR00922,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00936__2__5013,TIGR00936,GCF_003635025.1,ahcY_2,Adenosylhomocysteinase,5193179,5194433,1.0,scaffold_2,5013,CDS,11.0,GCF_003635025.1__arts_core__TIGR00936,✔,✖,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR00936,,,,,1
GCF_003635025.1__TIGR00936__2__6069,TIGR00936,45119,ahcY_3,Adenosylhomocysteinase,6379418,6380876,1.0,scaffold_2,6069,CDS,11.0,GCF_003635025.1__arts_core__TIGR00936,✔,✖,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR00936,,,,,1
GCF_003635025.1__TIGR00945__2__5106,TIGR00945,GCF_003635025.1,tatC,Sec-independent protein translocase protein TatC,5303777,5304734,1.0,scaffold_2,5106,CDS,11.0,GCF_003635025.1__arts_core__TIGR00945,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00952__2__4311,TIGR00952,GCF_003635025.1,rpsO,30S ribosomal protein S15,4417012,4417282,1.0,scaffold_2,4311,CDS,11.0,GCF_003635025.1__arts_core__TIGR00952,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00959__2__4184,TIGR00959,GCF_003635025.1,ffh,Signal recognition particle protein,4281099,4282656,1.0,scaffold_2,4184,CDS,11.0,GCF_003635025.1__arts_core__TIGR00959,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00962__2__3970,TIGR00962,GCF_003635025.1,atpA,ATP synthase subunit alpha,4053780,4055427,1.0,scaffold_2,3970,CDS,11.0,GCF_003635025.1__arts_core__TIGR00962,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00963__2__3752,TIGR00963,GCF_003635025.1,secA1,Protein translocase subunit SecA 1,3840067,3842932,1.0,scaffold_2,3752,CDS,11.0,GCF_003635025.1__arts_core__TIGR00963,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00964__2__3295,TIGR00964,GCF_003635025.1,secE,Protein translocase subunit SecE,3362909,3363311,1.0,scaffold_2,3295,CDS,11.0,GCF_003635025.1__arts_core__TIGR00964,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR00967__2__3366,TIGR00967,GCF_003635025.1,secY,Protein translocase subunit SecY,3444175,3445486,1.0,scaffold_2,3366,CDS,11.0,GCF_003635025.1__arts_core__TIGR00967,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR00981__2__3341,TIGR00981,GCF_003635025.1,rpsL,30S ribosomal protein S12,3428726,3429146,1.0,scaffold_2,3341,CDS,11.0,GCF_003635025.1__arts_core__TIGR00981,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01009__2__3352,TIGR01009,GCF_003635025.1,-,hypothetical protein,3437292,3438129,1.0,scaffold_2,3352,CDS,11.0,GCF_003635025.1__arts_core__TIGR01009,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01011__2__4202,TIGR01011,GCF_003635025.1,rpsB,30S ribosomal protein S2,4297567,4298386,1.0,scaffold_2,4202,CDS,11.0,GCF_003635025.1__arts_core__TIGR01011,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01017__2__3375,TIGR01017,GCF_003635025.1,rpsD,30S ribosomal protein S4,3450505,3451111,1.0,scaffold_2,3375,CDS,11.0,GCF_003635025.1__arts_core__TIGR01017,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01021__2__3363,TIGR01021,GCF_003635025.1,rpsE,30S ribosomal protein S5,3442562,3443174,1.0,scaffold_2,3363,CDS,11.0,GCF_003635025.1__arts_core__TIGR01021,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01022__2__3372,TIGR01022,45119,rpmJ_1,50S ribosomal protein L36,3449410,3449524,1.0,scaffold_2,3372,CDS,11.0,GCF_003635025.1__arts_core__TIGR01022,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR01022,,,,,2
GCF_003635025.1__TIGR01022__2__6897,TIGR01022,45119,rpmJ_2,50S ribosomal protein L36,7252546,7252669,1.0,scaffold_2,6897,CDS,11.0,GCF_003635025.1__arts_core__TIGR01022,✔,✔,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR01022,,,,,2
GCF_003635025.1__TIGR01023__2__1860,TIGR01023,GCF_003635025.1,rpmG2,50S ribosomal protein L33 2,1861192,1861360,1.0,scaffold_2,1860,CDS,11.0,GCF_003635025.1__arts_core__TIGR01023,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR01023,,,,,2
GCF_003635025.1__TIGR01023__2__3291,TIGR01023,GCF_003635025.1,rpmG1,50S ribosomal protein L33 1,3360127,3360292,1.0,scaffold_2,3291,CDS,11.0,GCF_003635025.1__arts_core__TIGR01023,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR01023,,,,,2
GCF_003635025.1__TIGR01024__2__4192,TIGR01024,GCF_003635025.1,rplS,50S ribosomal protein L19,4288238,4288595,1.0,scaffold_2,4192,CDS,11.0,GCF_003635025.1__arts_core__TIGR01024,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01029__2__3342,TIGR01029,GCF_003635025.1,rpsG,30S ribosomal protein S7,3429145,3429616,1.0,scaffold_2,3342,CDS,11.0,GCF_003635025.1__arts_core__TIGR01029,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01030__2__2665,TIGR01030,GCF_003635025.1,rpmH,50S ribosomal protein L34,2708136,2708280,1.0,scaffold_2,2665,CDS,11.0,GCF_003635025.1__arts_core__TIGR01030,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01031__2__1856,TIGR01031,45119,rpmF_1,50S ribosomal protein L32,1859068,1859221,-1.0,scaffold_2,1856,CDS,11.0,GCF_003635025.1__arts_core__TIGR01031,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR01031,,,,,2
GCF_003635025.1__TIGR01031__2__4142,TIGR01031,45119,rpmF_2,50S ribosomal protein L32,4236122,4236305,1.0,scaffold_2,4142,CDS,11.0,GCF_003635025.1__arts_core__TIGR01031,✔,✔,✖,,,,Protein synthesis,,✖,GCF_003635025.1__arts_dup__TIGR01031,,,,,2
GCF_003635025.1__TIGR01032__2__156,TIGR01032,GCF_003635025.1,rplT,50S ribosomal protein L20,34992,35361,-1.0,scaffold_2,156,CDS,11.0,GCF_003635025.1__arts_core__TIGR01032,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01034__2__4947,TIGR01034,GCF_003635025.1,metK_1,S-adenosylmethionine synthase,5122339,5123581,1.0,scaffold_2,4947,CDS,11.0,GCF_003635025.1__arts_core__TIGR01034,✔,✖,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR01034,,,,,1
GCF_003635025.1__TIGR01034__2__6066,TIGR01034,GCF_003635025.1,metK_2,S-adenosylmethionine synthase,6373409,6374612,1.0,scaffold_2,6066,CDS,11.0,GCF_003635025.1__arts_core__TIGR01034,✔,✖,✖,,,,,,✖,GCF_003635025.1__arts_dup__TIGR01034,,,,,1
GCF_003635025.1__TIGR01035__2__3215,TIGR01035,GCF_003635025.1,hemA_1,Glutamyl-tRNA reductase,3283921,3285307,1.0,scaffold_2,3215,CDS,11.0,GCF_003635025.1__arts_core__TIGR01035,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01039__2__3972,TIGR01039,GCF_003635025.1,atpD,ATP synthase subunit beta,4056362,4057793,1.0,scaffold_2,3972,CDS,11.0,GCF_003635025.1__arts_core__TIGR01039,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01044__2__3351,TIGR01044,GCF_003635025.1,rplV,50S ribosomal protein L22,3436876,3437293,1.0,scaffold_2,3351,CDS,11.0,GCF_003635025.1__arts_core__TIGR01044,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01049__2__3345,TIGR01049,GCF_003635025.1,rpsJ,30S ribosomal protein S10,3433701,3434007,1.0,scaffold_2,3345,CDS,11.0,GCF_003635025.1__arts_core__TIGR01049,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01050__2__3350,TIGR01050,GCF_003635025.1,rpsS,30S ribosomal protein S19,3436551,3436833,1.0,scaffold_2,3350,CDS,11.0,GCF_003635025.1__arts_core__TIGR01050,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01051__2__2250,TIGR01051,GCF_003635025.1,topA,DNA topoisomerase 1,2285055,2287893,-1.0,scaffold_2,2250,CDS,11.0,GCF_003635025.1__arts_core__TIGR01051,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01059__2__2659,TIGR01059,GCF_003635025.1,gyrB,DNA gyrase subunit B,2697841,2699815,-1.0,scaffold_2,2659,CDS,11.0,GCF_003635025.1__arts_core__TIGR01059,✖,✔,✔,,,,DNA metabolism,,✖,,,,,,2
GCF_003635025.1__TIGR01060__2__1781,TIGR01060,GCF_003635025.1,eno,Enolase,1779270,1780557,-1.0,scaffold_2,1781,CDS,11.0,GCF_003635025.1__arts_core__TIGR01060,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01063__2__2658,TIGR01063,GCF_003635025.1,gyrA,DNA gyrase subunit A,2695238,2697734,-1.0,scaffold_2,2658,CDS,11.0,GCF_003635025.1__arts_core__TIGR01063,✖,✖,✔,,,,DNA metabolism,,✖,,,,,,1
GCF_003635025.1__TIGR01064__2__4522,TIGR01064,GCF_003635025.1,pyk,Pyruvate kinase,4646448,4647840,1.0,scaffold_2,4522,CDS,11.0,GCF_003635025.1__arts_core__TIGR01064,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01066__2__3404,TIGR01066,GCF_003635025.1,rplM,50S ribosomal protein L13,3480622,3481069,1.0,scaffold_2,3404,CDS,11.0,GCF_003635025.1__arts_core__TIGR01066,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01067__2__3356,TIGR01067,GCF_003635025.1,rplN,50S ribosomal protein L14,3439296,3439665,1.0,scaffold_2,3356,CDS,11.0,GCF_003635025.1__arts_core__TIGR01067,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01071__2__3365,TIGR01071,GCF_003635025.1,rplO,50S ribosomal protein L15,3443363,3443813,1.0,scaffold_2,3365,CDS,11.0,GCF_003635025.1__arts_core__TIGR01071,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01072__2__3979,TIGR01072,GCF_003635025.1,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,4061485,4062802,1.0,scaffold_2,3979,CDS,11.0,GCF_003635025.1__arts_core__TIGR01072,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01079__2__3357,TIGR01079,GCF_003635025.1,rplX,50S ribosomal protein L24,3439664,3439979,1.0,scaffold_2,3357,CDS,11.0,GCF_003635025.1__arts_core__TIGR01079,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01082__2__4389,TIGR01082,GCF_003635025.1,murC,UDP-N-acetylmuramate--L-alanine ligase,4497105,4498539,1.0,scaffold_2,4389,CDS,11.0,GCF_003635025.1__arts_core__TIGR01082,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01083__2__2286,TIGR01083,GCF_003635025.1,nth,Endonuclease III,2325118,2325856,-1.0,scaffold_2,2286,CDS,11.0,GCF_003635025.1__arts_core__TIGR01083,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01087__2__4386,TIGR01087,GCF_003635025.1,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,4493141,4494542,1.0,scaffold_2,4386,CDS,11.0,GCF_003635025.1__arts_core__TIGR01087,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01091__2__3632,TIGR01091,GCF_003635025.1,upp,Uracil phosphoribosyltransferase,3710175,3710799,1.0,scaffold_2,3632,CDS,11.0,GCF_003635025.1__arts_core__TIGR01091,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01125__2__4353,TIGR01125,GCF_003635025.1,rimO,Ribosomal protein S12 methylthiotransferase RimO,4458996,4460403,1.0,scaffold_2,4353,CDS,11.0,GCF_003635025.1__arts_core__TIGR01125,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01131__2__3966,TIGR01131,GCF_003635025.1,atpB,ATP synthase subunit a,4051179,4051959,1.0,scaffold_2,3966,CDS,11.0,GCF_003635025.1__arts_core__TIGR01131,✖,✔,✖,,,,Energy metabolism,,✖,,,,,,1
GCF_003635025.1__TIGR01134__2__3000,TIGR01134,GCF_003635025.1,purF,Amidophosphoribosyltransferase,3054902,3056501,1.0,scaffold_2,3000,CDS,11.0,GCF_003635025.1__arts_core__TIGR01134,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01135__2__3419,TIGR01135,GCF_003635025.1,glmS_3,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],3491038,3492856,1.0,scaffold_2,3419,CDS,11.0,GCF_003635025.1__arts_core__TIGR01135,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01144__2__3968,TIGR01144,GCF_003635025.1,atpF,ATP synthase subunit b,4052298,4052856,1.0,scaffold_2,3968,CDS,11.0,GCF_003635025.1__arts_core__TIGR01144,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01145__2__3969,TIGR01145,GCF_003635025.1,atpH_2,ATP synthase subunit delta,4052889,4053708,1.0,scaffold_2,3969,CDS,11.0,GCF_003635025.1__arts_core__TIGR01145,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01146__2__3971,TIGR01146,GCF_003635025.1,atpG,ATP synthase gamma chain,4055431,4056361,1.0,scaffold_2,3971,CDS,11.0,GCF_003635025.1__arts_core__TIGR01146,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01161__2__3706,TIGR01161,GCF_003635025.1,purK,N5-carboxyaminoimidazole ribonucleotide synthase,3785339,3786491,1.0,scaffold_2,3706,CDS,11.0,GCF_003635025.1__arts_core__TIGR01161,✖,✔,✖,,,,"Purines, pyrimidines, nucleosides, and nucleotides",,✖,,,,,,1
GCF_003635025.1__TIGR01162__2__3707,TIGR01162,GCF_003635025.1,purE,N5-carboxyaminoimidazole ribonucleotide mutase,3786511,3787033,1.0,scaffold_2,3707,CDS,11.0,GCF_003635025.1__arts_core__TIGR01162,✖,✔,✖,,,,"Purines, pyrimidines, nucleosides, and nucleotides",,✖,,,,,,1
GCF_003635025.1__TIGR01163__2__4969,TIGR01163,GCF_003635025.1,rpe,Ribulose-phosphate 3-epimerase,5148136,5148856,1.0,scaffold_2,4969,CDS,11.0,GCF_003635025.1__arts_core__TIGR01163,✖,✔,✖,,,,Energy metabolism,,✖,,,,,,1
GCF_003635025.1__TIGR01164__2__3353,TIGR01164,GCF_003635025.1,rplP,50S ribosomal protein L16,3438132,3438552,1.0,scaffold_2,3353,CDS,11.0,GCF_003635025.1__arts_core__TIGR01164,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01169__2__3298,TIGR01169,GCF_003635025.1,rplA,50S ribosomal protein L1,3364942,3365644,1.0,scaffold_2,3298,CDS,11.0,GCF_003635025.1__arts_core__TIGR01169,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01171__2__3349,TIGR01171,GCF_003635025.1,rplB,50S ribosomal protein L2,3435699,3436533,1.0,scaffold_2,3349,CDS,11.0,GCF_003635025.1__arts_core__TIGR01171,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01198__2__5018,TIGR01198,GCF_003635025.1,pgl_3,6-phosphogluconolactonase,5199589,5200348,-1.0,scaffold_2,5018,CDS,11.0,GCF_003635025.1__arts_core__TIGR01198,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01216__2__3973,TIGR01216,GCF_003635025.1,atpC,ATP synthase epsilon chain,4057954,4058320,1.0,scaffold_2,3973,CDS,11.0,GCF_003635025.1__arts_core__TIGR01216,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01228__2__3804,TIGR01228,GCF_003635025.1,hutU,Urocanate hydratase,3896427,3898077,1.0,scaffold_2,3804,CDS,11.0,GCF_003635025.1__arts_core__TIGR01228,✖,✖,✖,NZ_RBXX01000002.1.region005,TIGR01228,hutU: urocanate hydratase,Energy metabolism,NZ_RBXX01000002.1.region005__arts_bgc,✔,,,,,,1
GCF_003635025.1__TIGR01235__2__4133,TIGR01235,GCF_003635025.1,pycA,Pyruvate carboxylase,4225135,4228513,1.0,scaffold_2,4133,CDS,11.0,GCF_003635025.1__arts_core__TIGR01235,✖,✖,✔,,,,Energy metabolism,,✖,,,,,,1
GCF_003635025.1__TIGR01245__2__728,TIGR01245,GCF_003635025.1,trpD,Anthranilate phosphoribosyltransferase,647112,648147,1.0,scaffold_2,728,CDS,11.0,GCF_003635025.1__arts_core__TIGR01245,✖,✔,✖,,,,,,✖,,,,,,1
GCF_003635025.1__TIGR01280__2__1656,TIGR01280,GCF_003635025.1,xseB,Exodeoxyribonuclease 7 small subunit,1638861,1639116,1.0,scaffold_2,1656,CDS,11.0,GCF_003635025.1__arts_core__TIGR01280,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01308__2__3364,TIGR01308,GCF_003635025.1,rpmD,50S ribosomal protein L30,3443179,3443362,1.0,scaffold_2,3364,CDS,11.0,GCF_003635025.1__arts_core__TIGR01308,✖,✖,✖,,,,,,✖,,,,,,0
GCF_003635025.1__TIGR01311__2__3674,TIGR01311,GCF_003635025.1,glpK_1,Glycerol kinase,3752069,3753575,-1.0,scaffold_2,3674,CDS,11.0,GCF_003635025.1__arts_core__TIGR01311,✖,✔,✖,,,,,,✖,,,,,,1
